lab_mapping,short,OD,strain,time,sample
14-0-1,CGXII,0.182,TS,0,1
14-0-1,CGXII+CasA,0.2,TS,0,1
14-0-1,CGXII+Tween,0.229,TS,0,1
14-0-1,CGXII+Tween+CasA,0.234,TS,0,1
14-0-1,CGXII+Tween+Trace,0.224,TS,0,1
14-0-1,CGXII+Tween+Vit,0.263,TS,0,1
14-0-1,CGXII+Tween+Vit+Trace,0.209,TS,0,1
14-24-1,CGXII,0.31,TS,24,1
14-24-1,CGXII+CasA,1.2,TS,24,1
14-24-1,CGXII+Tween,0.724,TS,24,1
14-24-1,CGXII+Tween+CasA,1.723,TS,24,1
14-24-1,CGXII+Tween+Trace,0.926,TS,24,1
14-24-1,CGXII+Tween+Vit,0.942,TS,24,1
14-24-1,CGXII+Tween+Vit+Trace,0.645,TS,24,1
14-0-2,CGXII,0.183,TS,0,2
14-0-2,CGXII+CasA,0.194,TS,0,2
14-0-2,CGXII+Tween,0.226,TS,0,2
14-0-2,CGXII+Tween+CasA,0.226,TS,0,2
14-0-2,CGXII+Tween+Trace,0.207,TS,0,2
14-0-2,CGXII+Tween+Vit,0.203,TS,0,2
14-0-2,CGXII+Tween+Vit+Trace,0.201,TS,0,2
14-24-2,CGXII,0.279,TS,24,2
14-24-2,CGXII+CasA,1.27,TS,24,2
14-24-2,CGXII+Tween,0.741,TS,24,2
14-24-2,CGXII+Tween+CasA,1.738,TS,24,2
14-24-2,CGXII+Tween+Trace,0.674,TS,24,2
14-24-2,CGXII+Tween+Vit,0.712,TS,24,2
14-24-2,CGXII+Tween+Vit+Trace,0.619,TS,24,2
14-0-3,CGXII,0.173,TS,0,3
14-0-3,CGXII+CasA,0.206,TS,0,3
14-0-3,CGXII+Tween,0.227,TS,0,3
14-0-3,CGXII+Tween+CasA,0.199,TS,0,3
14-0-3,CGXII+Tween+Trace,0.201,TS,0,3
14-0-3,CGXII+Tween+Vit,0.206,TS,0,3
14-0-3,CGXII+Tween+Vit+Trace,0.22,TS,0,3
14-24-3,CGXII,0.278,TS,24,3
14-24-3,CGXII+CasA,1.27,TS,24,3
14-24-3,CGXII+Tween,0.748,TS,24,3
14-24-3,CGXII+Tween+CasA,1.628,TS,24,3
14-24-3,CGXII+Tween+Trace,0.642,TS,24,3
14-24-3,CGXII+Tween+Vit,0.677,TS,24,3
14-24-3,CGXII+Tween+Vit+Trace,0.641,TS,24,3
16-0-1,CGXII,0.215,1115,0,1
16-0-1,CGXII+CasA,0.228,1115,0,1
16-0-1,CGXII+Tween,0.216,1115,0,1
16-0-1,CGXII+Tween+CasA,0.205,1115,0,1
16-0-1,CGXII+Tween+Trace,0.224,1115,0,1
16-0-1,CGXII+Tween+Vit,0.217,1115,0,1
16-0-1,CGXII+Tween+Vit+Trace,0.247,1115,0,1
16-0-2,CGXII,0.206,1115,0,2
16-0-2,CGXII+CasA,0.206,1115,0,2
16-0-2,CGXII+Tween,0.222,1115,0,2
16-0-2,CGXII+Tween+CasA,0.229,1115,0,2
16-0-2,CGXII+Tween+Trace,0.227,1115,0,2
16-0-2,CGXII+Tween+Vit,0.211,1115,0,2
16-0-2,CGXII+Tween+Vit+Trace,0.207,1115,0,2
16-0-3,CGXII,0.173,1115,0,3
16-0-3,CGXII+CasA,0.221,1115,0,3
16-0-3,CGXII+Tween,0.224,1115,0,3
16-0-3,CGXII+Tween+CasA,0.233,1115,0,3
16-0-3,CGXII+Tween+Trace,0.226,1115,0,3
16-0-3,CGXII+Tween+Vit,0.214,1115,0,3
16-0-3,CGXII+Tween+Vit+Trace,0.209,1115,0,3
16-24-1,CGXII,0.213,1115,24,1
16-24-1,CGXII+CasA,3.71,1115,24,1
16-24-1,CGXII+Tween,0.478,1115,24,1
16-24-1,CGXII+Tween+CasA,6.82,1115,24,1
16-24-1,CGXII+Tween+Trace,0.944,1115,24,1
16-24-1,CGXII+Tween+Vit,0.383,1115,24,1
16-24-1,CGXII+Tween+Vit+Trace,0.467,1115,24,1
16-24-2,CGXII,0.3,1115,24,2
16-24-2,CGXII+CasA,3.8,1115,24,2
16-24-2,CGXII+Tween,0.499,1115,24,2
16-24-2,CGXII+Tween+CasA,4.1,1115,24,2
16-24-2,CGXII+Tween+Trace,1.153,1115,24,2
16-24-2,CGXII+Tween+Vit,0.416,1115,24,2
16-24-2,CGXII+Tween+Vit+Trace,0.371,1115,24,2
16-24-3,CGXII,0.15,1115,24,3
16-24-3,CGXII+CasA,3.77,1115,24,3
16-24-3,CGXII+Tween,0.55,1115,24,3
16-24-3,CGXII+Tween+CasA,4.91,1115,24,3
16-24-3,CGXII+Tween+Trace,0.871,1115,24,3
16-24-3,CGXII+Tween+Vit,0.406,1115,24,3
16-24-3,CGXII+Tween+Vit+Trace,0.36,1115,24,3
15-0-1,CGXII,0.141,1197,0,1
15-0-1,CGXII+CasA,0.194,1197,0,1
15-0-1,CGXII+Tween,0.175,1197,0,1
15-0-1,CGXII+Tween+CasA,0.18,1197,0,1
15-0-1,CGXII+Tween+Trace,0.17,1197,0,1
15-0-1,CGXII+Tween+Vit,0.192,1197,0,1
15-0-1,CGXII+Tween+Vit+Trace,0.208,1197,0,1
15-0-2,CGXII,0.162,1197,0,2
15-0-2,CGXII+CasA,0.196,1197,0,2
15-0-2,CGXII+Tween,0.188,1197,0,2
15-0-2,CGXII+Tween+CasA,0.189,1197,0,2
15-0-2,CGXII+Tween+Trace,0.191,1197,0,2
15-0-2,CGXII+Tween+Vit,0.202,1197,0,2
15-0-2,CGXII+Tween+Vit+Trace,0.203,1197,0,2
15-0-3,CGXII,0.181,1197,0,3
15-0-3,CGXII+CasA,0.197,1197,0,3
15-0-3,CGXII+Tween,0.172,1197,0,3
15-0-3,CGXII+Tween+CasA,0.182,1197,0,3
15-0-3,CGXII+Tween+Trace,0.174,1197,0,3
15-0-3,CGXII+Tween+Vit,0.208,1197,0,3
15-0-3,CGXII+Tween+Vit+Trace,0.209,1197,0,3
15-24-1,CGXII,0.196,1197,24,1
15-24-1,CGXII+CasA,1.07,1197,24,1
15-24-1,CGXII+Tween,0.285,1197,24,1
15-24-1,CGXII+Tween+CasA,0.941,1197,24,1
15-24-1,CGXII+Tween+Trace,0.285,1197,24,1
15-24-1,CGXII+Tween+Vit,0.47,1197,24,1
15-24-1,CGXII+Tween+Vit+Trace,0.443,1197,24,1
15-24-2,CGXII,0.284,1197,24,2
15-24-2,CGXII+CasA,1.14,1197,24,2
15-24-2,CGXII+Tween,0.315,1197,24,2
15-24-2,CGXII+Tween+CasA,0.977,1197,24,2
15-24-2,CGXII+Tween+Trace,0.321,1197,24,2
15-24-2,CGXII+Tween+Vit,0.51,1197,24,2
15-24-2,CGXII+Tween+Vit+Trace,0.493,1197,24,2
15-24-3,CGXII,0.292,1197,24,3
15-24-3,CGXII+CasA,1.11,1197,24,3
15-24-3,CGXII+Tween,0.293,1197,24,3
15-24-3,CGXII+Tween+CasA,0.99,1197,24,3
15-24-3,CGXII+Tween+Trace,0.299,1197,24,3
15-24-3,CGXII+Tween+Vit,0.505,1197,24,3
15-24-3,CGXII+Tween+Vit+Trace,0.48,1197,24,3
17-0-1,CGXII,0.18,1116,0,1
17-0-1,CGXII+CasA,0.201,1116,0,1
17-0-1,CGXII+Tween,0.186,1116,0,1
17-0-1,CGXII+Tween+CasA,0.224,1116,0,1
17-0-1,CGXII+Tween+Trace,0.187,1116,0,1
17-0-1,CGXII+Tween+Vit,0.217,1116,0,1
17-0-1,CGXII+Tween+Vit+Trace,0.223,1116,0,1
17-0-1,CGXII+Tween+Vit+Trace+nac,0.213,1116,0,1
17-0-1,CGXII+Tween+Vit+nac,0.219,1116,0,1
17-0-1,CGXII+Tween+nac,0.182,1116,0,1
17-0-1,CGXII+Tween+nac+CasA,0.188,1116,0,1
17-0-1,CGXII+nac,0.159,1116,0,1
17-0-2,CGXII,0.178,1116,0,2
17-0-2,CGXII+CasA,0.201,1116,0,2
17-0-2,CGXII+Tween,0.181,1116,0,2
17-0-2,CGXII+Tween+CasA,0.926,1116,0,2
17-0-2,CGXII+Tween+Trace,0.196,1116,0,2
17-0-2,CGXII+Tween+Vit,0.228,1116,0,2
17-0-2,CGXII+Tween+Vit+Trace,0.212,1116,0,2
17-0-2,CGXII+Tween+Vit+Trace+nac,0.197,1116,0,2
17-0-2,CGXII+Tween+Vit+nac,0.218,1116,0,2
17-0-2,CGXII+Tween+nac,0.188,1116,0,2
17-0-2,CGXII+Tween+nac+CasA,0.188,1116,0,2
17-0-2,CGXII+nac,0.159,1116,0,2
17-0-3,CGXII,0.169,1116,0,3
17-0-3,CGXII+CasA,0.177,1116,0,3
17-0-3,CGXII+Tween,0.199,1116,0,3
17-0-3,CGXII+Tween+CasA,0.207,1116,0,3
17-0-3,CGXII+Tween+Trace,0.201,1116,0,3
17-0-3,CGXII+Tween+Vit,0.204,1116,0,3
17-0-3,CGXII+Tween+Vit+Trace,0.152,1116,0,3
17-0-3,CGXII+Tween+Vit+Trace+nac,0.199,1116,0,3
17-0-3,CGXII+Tween+Vit+nac,0.198,1116,0,3
17-0-3,CGXII+Tween+nac,0.193,1116,0,3
17-0-3,CGXII+Tween+nac+CasA,0.197,1116,0,3
17-0-3,CGXII+nac,0.165,1116,0,3
17-24-1,CGXII,0.169,1116,24,1
17-24-1,CGXII+CasA,0.74,1116,24,1
17-24-1,CGXII+Tween,0.21,1116,24,1
