strain,group1,group2,pval,significance
1115,CGXII,CGXII+CasA,1.6586552005018294e-05,****
1115,CGXII+Tween+Vit,CGXII+Tween+Vit+Trace,0.38258710241273297,ns
1115,CGXII+Tween+Trace,CGXII+Tween+Vit+Trace,0.002151584163441331,**
1115,CGXII+Tween+Trace,CGXII+Tween+Vit,0.0024491866163472444,**
1115,CGXII+Tween+CasA,CGXII+Tween+Vit+Trace,0.008925812127090932,**
1115,CGXII+Tween+CasA,CGXII+Tween+Trace,0.013767948306356229,*
1115,CGXII+Tween,CGXII+Tween+Vit+Trace,0.005015725454209704,**
1115,CGXII+Tween,CGXII+Tween+Vit,0.011559932532758003,*
1115,CGXII+Tween,CGXII+Tween+Trace,0.005014122796392631,**
1115,CGXII+Tween,CGXII+Tween+CasA,0.009668749353649767,**
1115,CGXII+CasA,CGXII+Tween+Vit+Trace,1.7173088051376137e-05,****
1115,CGXII+CasA,CGXII+Tween+Vit,1.7622405021075538e-05,****
1115,CGXII+CasA,CGXII+Tween+Trace,6.144535445786839e-05,****
1115,CGXII+CasA,CGXII+Tween+CasA,0.22236581447202833,ns
1115,CGXII+CasA,CGXII+Tween,1.9912344519096264e-05,****
1115,CGXII,CGXII+Tween+Vit+Trace,0.019951829496663756,*
1115,CGXII+Tween+CasA,CGXII+Tween+Vit,0.009034076586031897,**
1115,CGXII,CGXII+Tween,0.003510876497296269,**
1115,CGXII,CGXII+Tween+CasA,0.008030343123060314,**
1115,CGXII,CGXII+Tween+Trace,0.0012718385615611606,**
1115,CGXII,CGXII+Tween+Vit,0.01504004608503354,*
1116,CGXII+Tween+Vit,CGXII+Tween+Vit+Trace,0.20088499248126557,ns
1116,CGXII+Tween+CasA,CGXII+Tween+Vit+nac,0.4089777408657898,ns
1116,CGXII+Tween+CasA,CGXII+Tween+Vit+Trace+nac,0.4299243079956637,ns
1116,CGXII+Tween,CGXII+nac,0.5333137106478465,ns
1116,CGXII+Tween+Trace,CGXII+Tween+Vit,2.9260106465178205e-08,****
1116,CGXII+Tween,CGXII+Tween+nac+CasA,1.1080726258393654e-07,****
1116,CGXII+Tween,CGXII+Tween+nac,2.025259859824853e-06,****
1116,CGXII+Tween,CGXII+Tween+Vit+nac,0.006716545489258304,**
1116,CGXII+Tween,CGXII+Tween+Vit+Trace+nac,0.05539782293879739,ns
1116,CGXII+Tween+Trace,CGXII+Tween+Vit+Trace,3.4817342919306266e-07,****
1116,CGXII+CasA,CGXII+nac,0.0031774856767297164,**
1116,CGXII+CasA,CGXII+Tween+nac+CasA,0.002120954674557623,**
1116,CGXII+Tween+CasA,CGXII+Tween+nac,0.7287984586074255,ns
1116,CGXII+CasA,CGXII+Tween+Vit+nac,0.002915887451124851,**
1116,CGXII+CasA,CGXII+Tween+Vit+Trace+nac,0.003224984583709604,**
1116,CGXII,CGXII+nac,0.9671795730644762,ns
1116,CGXII,CGXII+Tween+nac+CasA,5.520677262085793e-07,****
1116,CGXII,CGXII+Tween+nac,0.00041407406675808073,***
1116,CGXII,CGXII+Tween+Vit+nac,0.037712251918607775,*
1116,CGXII,CGXII+Tween+Vit+Trace+nac,0.03981963153261487,*
1116,CGXII,CGXII+CasA,0.0022332450163270127,**
1116,CGXII+CasA,CGXII+Tween+nac,0.007475622667804176,**
1116,CGXII,CGXII+Tween+Vit,0.01648062070147034,*
1116,CGXII+Tween+Trace,CGXII+Tween+Vit+Trace+nac,8.945525192392541e-07,****
1116,CGXII+Tween+nac,CGXII+Tween+nac+CasA,2.0339985916306898e-07,****
1116,CGXII+Tween+Vit+nac,CGXII+nac,0.2926406692421799,ns
1116,CGXII+Tween+Vit+nac,CGXII+Tween+nac+CasA,1.3785744535387206e-07,****
1116,CGXII+Tween+Vit+nac,CGXII+Tween+nac,1.6672502004423916e-05,****
1116,CGXII+Tween+Vit+Trace+nac,CGXII+nac,0.23670282018083466,ns
1116,CGXII+Tween+Vit+Trace+nac,CGXII+Tween+nac+CasA,3.883794626317149e-07,****
1116,CGXII+Tween+Vit+Trace+nac,CGXII+Tween+nac,0.000769963939950068,***
1116,CGXII+Tween+Vit+Trace+nac,CGXII+Tween+Vit+nac,0.4851251422406228,ns
1116,CGXII+Tween+Vit+Trace,CGXII+nac,0.14407620924718026,ns
1116,CGXII+Tween+Vit+Trace,CGXII+Tween+nac+CasA,2.5482462179566504e-07,****
1116,CGXII+Tween+CasA,CGXII+Tween+nac+CasA,0.014635420205453102,*
1116,CGXII+Tween+Vit+Trace,CGXII+Tween+nac,0.00045069209848507246,***
1116,CGXII+Tween+Vit+Trace,CGXII+Tween+Vit+Trace+nac,0.30881789047935154,ns
1116,CGXII+Tween+Vit,CGXII+nac,0.20096058742989542,ns
1116,CGXII+Tween+Vit,CGXII+Tween+nac+CasA,1.2715744381702484e-07,****
1116,CGXII+Tween+Vit,CGXII+Tween+nac,7.325722705839801e-06,****
1116,CGXII+Tween+Vit,CGXII+Tween+Vit+nac,0.04165209982953748,*
1116,CGXII+Tween+Vit,CGXII+Tween+Vit+Trace+nac,0.7788578427429437,ns
1116,CGXII+Tween+Trace,CGXII+nac,7.143223831179471e-05,****
1116,CGXII+Tween+Trace,CGXII+Tween+nac+CasA,5.457336851574579e-06,****
1116,CGXII+Tween+Trace,CGXII+Tween+nac,8.366874328435197e-08,****
1116,CGXII+Tween+Trace,CGXII+Tween+Vit+nac,5.2950916437159794e-08,****
1116,CGXII+Tween+Vit+Trace,CGXII+Tween+Vit+nac,0.04744796885962284,*
1116,CGXII+Tween+CasA,CGXII+nac,0.3212408037694441,ns
1116,CGXII+Tween+nac+CasA,CGXII+nac,1.1750228403710551e-05,****
1116,CGXII+Tween,CGXII+Tween+Trace,2.2075584255492872e-08,****
1116,CGXII+Tween+CasA,CGXII+Tween+Trace,0.10781563954595261,ns
1116,CGXII+CasA,CGXII+Tween+Vit,0.0031888223435918503,**
1116,CGXII+Tween+CasA,CGXII+Tween+Vit+Trace,0.4677849731912615,ns
1116,CGXII+CasA,CGXII+Tween+Trace,0.1889536841514624,ns
1116,CGXII+CasA,CGXII+Tween+Vit+Trace,0.0035756984475411096,**
1116,CGXII+Tween+nac,CGXII+nac,0.014633500043228399,*
1116,CGXII+CasA,CGXII+Tween+CasA,0.23749694311850572,ns
1116,CGXII,CGXII+Tween+Trace,1.646880104239691e-06,****
1116,CGXII+Tween+CasA,CGXII+Tween+Vit,0.4372270798008242,ns
1116,CGXII+CasA,CGXII+Tween,0.0024931046370677682,**
1116,CGXII,CGXII+Tween+CasA,0.31811791646219334,ns
1116,CGXII+Tween,CGXII+Tween+Vit,0.00017946926853319625,***
1116,CGXII,CGXII+Tween+Vit+Trace,0.012955109912347319,*
1116,CGXII+Tween,CGXII+Tween+CasA,0.3643821615569332,ns
1116,CGXII,CGXII+Tween,0.1637335545779754,ns
1116,CGXII+Tween,CGXII+Tween+Vit+Trace,0.00486187426889466,**
1197,CGXII+CasA,CGXII+Tween+Vit+Trace,1.0542531430716456e-05,****
1197,CGXII+Tween+CasA,CGXII+Tween+Vit+Trace,1.4924831733044516e-05,****
1197,CGXII+CasA,CGXII+Tween+Vit,4.194106630732498e-06,****
1197,CGXII+CasA,CGXII+Tween+CasA,0.034886630509992064,*
1197,CGXII+CasA,CGXII+Tween,1.5654329741792602e-06,****
1197,CGXII,CGXII+Tween+Trace,0.374670112044308,ns
1197,CGXII,CGXII+Tween+Vit+Trace,0.006872745456765543,**
1197,CGXII,CGXII+Tween+Vit,0.0013049479687675877,**
1197,CGXII,CGXII+Tween+CasA,1.0257127448031824e-05,****
1197,CGXII+CasA,CGXII+Tween+Trace,1.4856454341714745e-06,****
1197,CGXII+Tween,CGXII+Tween+CasA,1.8338728218365659e-06,****
1197,CGXII+Tween+CasA,CGXII+Tween+Vit,5.522531086248078e-06,****
1197,CGXII+Tween,CGXII+Tween+Trace,0.4266510969497085,ns
1197,CGXII+Tween+Vit,CGXII+Tween+Vit+Trace,0.11735330242141859,ns
1197,CGXII,CGXII+CasA,7.692755159695945e-06,****
1197,CGXII+Tween+Trace,CGXII+Tween+Vit,1.810207520566119e-05,****
1197,CGXII+Tween+CasA,CGXII+Tween+Trace,1.7277165614228717e-06,****
1197,CGXII+Tween,CGXII+Tween+Vit+Trace,0.0023051584650245088,**
1197,CGXII+Tween+Trace,CGXII+Tween+Vit+Trace,0.002467534087347316,**
1197,CGXII+Tween,CGXII+Tween+Vit,2.660781744217206e-05,****
1197,CGXII,CGXII+Tween,0.48127956931371013,ns
TS,CGXII+CasA,CGXII+Tween,5.7281261622604016e-05,****
TS,CGXII,CGXII+Tween+Vit+Trace,5.02979691626592e-05,****
TS,CGXII+Tween+CasA,CGXII+Tween+Vit,7.186066595801285e-05,****
TS,CGXII,CGXII+Tween+Trace,0.0033911574482027467,**
TS,CGXII+Tween+Trace,CGXII+Tween+Vit,0.8368210598188104,ns
TS,CGXII,CGXII+Tween+Vit,5.604963193284899e-05,****
TS,CGXII+Tween+CasA,CGXII+Tween+Vit+Trace,4.230461901935519e-05,****
TS,CGXII+Tween,CGXII+Tween+CasA,4.868535459370572e-05,****
TS,CGXII+CasA,CGXII+Tween+CasA,0.006320006826286765,**
TS,CGXII+Tween+CasA,CGXII+Tween+Trace,0.0003964968572688373,***
TS,CGXII+Tween+Vit,CGXII+Tween+Vit+Trace,0.014733090425553914,*
TS,CGXII+CasA,CGXII+Tween+Trace,0.001404141055560852,**
TS,CGXII,CGXII+Tween+CasA,1.4668768145501392e-05,****
TS,CGXII+Tween,CGXII+Tween+Vit+Trace,0.035972988512773564,*
TS,CGXII+CasA,CGXII+Tween+Vit,0.0001133064793638497,***
TS,CGXII+Tween,CGXII+Tween+Vit,0.0954319112582788,ns
TS,CGXII+CasA,CGXII+Tween+Vit+Trace,4.7772269666705445e-05,****
TS,CGXII,CGXII+Tween,1.639858773754564e-05,****
TS,CGXII+Tween,CGXII+Tween+Trace,0.4081909917354689,ns
TS,CGXII+Tween+Trace,CGXII+Tween+Vit+Trace,0.17954738858434355,ns
TS,CGXII,CGXII+CasA,1.080810075618981e-05,****
