lab_mapping,short,OD,strain,time,sample
14-0-1,LB,0.22,TS,0,1
14-0-2,LB,0.23,TS,0,2
14-0-3,LB,0.222,TS,0,3
14-24-1,LB,9.026,TS,24,1
14-24-2,LB,9.813,TS,24,2
14-24-3,LB,10.092,TS,24,3
15-0-1,LB,0.239,1197,0,1
15-0-2,LB,0.202,1197,0,2
15-0-3,LB,0.204,1197,0,3
15-24-1,LB,10.186,1197,24,1
15-24-2,LB,11.09,1197,24,2
15-24-3,LB,11.646,1197,24,3
16-0-1,LB,0.231,1115,0,1
16-0-2,LB,0.245,1115,0,2
16-0-3,LB,0.221,1115,0,3
16-24-1,LB,10.121,1115,24,1
16-24-2,LB,12.641,1115,24,2
16-24-3,LB,9.542,1115,24,3
17-0-1,LB,0.269,1116,0,1
17-0-2,LB,0.207,1116,0,2
17-0-3,LB,0.257,1116,0,3
17-24-1,LB,9.69,1116,24,1
17-24-2,LB,12.788,1116,24,2
17-24-3,LB,10.505,1116,24,3
17-0-1,LB+nac,0.259,1116,0,1
17-0-2,LB+nac,0.229,1116,0,2
17-0-3,LB+nac,0.258,1116,0,3
17-24-1,LB+nac,9.811,1116,24,1
17-24-2,LB+nac,8.727,1116,24,2
17-24-3,LB+nac,10.873,1116,24,3
