strain,short,pval,significance
1115,M9,0.008382749819661575,**
1115,M9+Tween,0.0015574316586414064,**
1115,M9+Tween+CasA,0.004806781456890865,**
1115,M9+adds,0.008982428969877753,**
1115,M9+adds+CasA,0.00020960699132424108,***
1116,M9,0.004032780512961582,**
1116,M9+Tween,0.1382191904980246,ns
1116,M9+Tween+CasA,0.04232374144593466,*
1116,M9+Tween+nac,0.002375565478485371,**
1116,M9+Tween+nac+CasA,0.004135092809206965,**
1116,M9+adds,0.013283162747689025,*
1116,M9+adds+CasA,0.0015878746487211627,**
1197,M9,0.000686415738037952,***
1197,M9+Tween,0.025500177987961503,*
1197,M9+Tween+CasA,0.001558182222946004,**
1197,M9+adds,0.00100317482928092,**
1197,M9+adds+CasA,0.001221164537591016,**
TS,M9,0.10057606454980107,ns
TS,M9+Tween,0.004937883089772514,**
TS,M9+Tween+CasA,0.025650410416444662,*
TS,M9+adds,0.006223238968775707,**
TS,M9+adds+CasA,0.0011659715743269545,**
