strain,group1,group2,pval,significance
1115,M9,M9+Tween,0.0030074613598353845,**
1115,M9+Tween,M9+adds,0.0023128534063520567,**
1115,M9+Tween+CasA,M9+adds,0.00017250863552219716,***
1115,M9+Tween+CasA,M9+adds+CasA,0.0002699557179989686,***
1115,M9+Tween,M9+Tween+CasA,1.606986109631127e-05,****
1115,M9+adds,M9+adds+CasA,6.2460994050046736e-06,****
1115,M9,M9+adds+CasA,5.517279318083428e-08,****
1115,M9,M9+adds,0.0010319892620373314,**
1115,M9+Tween,M9+adds+CasA,8.604416015566295e-08,****
1115,M9,M9+Tween+CasA,1.2262023396196329e-05,****
1116,M9+Tween,M9+Tween+nac,0.00019518530870787836,***
1116,M9,M9+Tween+nac+CasA,6.009041110066666e-05,****
1116,M9+Tween+nac+CasA,M9+adds,4.569177227583506e-05,****
1116,M9+Tween+CasA,M9+Tween+nac,0.038934659401734836,*
1116,M9+adds,M9+adds+CasA,0.0007580267953867453,***
1116,M9+Tween+CasA,M9+Tween+nac+CasA,0.05304266855014107,ns
1116,M9+Tween+CasA,M9+adds+CasA,0.14100054765484954,ns
1116,M9+Tween+nac,M9+Tween+nac+CasA,0.5880248580032117,ns
1116,M9+Tween+CasA,M9+adds,0.013590905719353818,*
1116,M9+Tween+nac,M9+adds,2.798456425276476e-05,****
1116,M9+Tween+nac,M9+adds+CasA,0.00026924179765430684,***
1116,M9+Tween,M9+Tween+nac+CasA,0.000267748136395384,***
1116,M9,M9+Tween+nac,3.607256316715961e-05,****
1116,M9+Tween,M9+adds+CasA,0.017155044033062044,*
1116,M9,M9+adds+CasA,0.001910725520316596,**
1116,M9,M9+Tween,0.8660950663473466,ns
1116,M9,M9+Tween+CasA,0.02136411000284404,*
1116,M9,M9+adds,0.0005654864762349456,***
1116,M9+Tween,M9+Tween+CasA,0.025558176151134895,*
1116,M9+Tween+nac+CasA,M9+adds+CasA,0.000425725893504501,***
1116,M9+Tween,M9+adds,0.31214668548518426,ns
1197,M9+Tween+CasA,M9+adds,0.008364648510122004,**
1197,M9,M9+Tween,0.00026599589063465,***
1197,M9+Tween,M9+adds+CasA,2.1974573844308045e-06,****
1197,M9,M9+Tween+CasA,0.019430053277716904,*
1197,M9,M9+adds,0.002021017072295239,**
1197,M9+Tween,M9+Tween+CasA,0.0019686402914816693,**
1197,M9+adds,M9+adds+CasA,1.4177926735624e-06,****
1197,M9+Tween,M9+adds,0.0012528700087602745,**
1197,M9,M9+adds+CasA,1.5531058306526e-06,****
1197,M9+Tween+CasA,M9+adds+CasA,0.001010398371171777,**
TS,M9+adds,M9+adds+CasA,5.8844118134237264e-05,****
TS,M9+Tween+CasA,M9+adds+CasA,0.1454225011172131,ns
TS,M9+Tween,M9+adds+CasA,5.4551996567951764e-05,****
TS,M9,M9+Tween+CasA,0.0028653393396115023,**
TS,M9,M9+adds+CasA,8.86767195949893e-05,****
TS,M9,M9+Tween,0.287217385940247,ns
TS,M9+Tween,M9+Tween+CasA,0.0031302513256424355,**
TS,M9+Tween+CasA,M9+adds,0.0033458447520015966,**
TS,M9+Tween,M9+adds,0.3237811713603479,ns
TS,M9,M9+adds,0.13801381252257233,ns
