date,strain,medium,minus,plus,short
221028,16,CGXII,ni;34dhbz;btn,,-/-
221028,16,CGXII,ni;34dhbz;btn,cobalt;pnto;cys__L,-/+
221028,16,CGXII,,,+/-
221028,16,CGXII,,cobalt;pnto;cys__L,+/+

221108,16;14,CGXII,ni;34dhbz;btn,,-/-
221108,16,CGXII,ni;34dhbz;btn,cobalt;pnto;cys__L,-/+
221108,14,CGXII,ni;34dhbz;btn,cobalt,-/+
221108,16;14,CGXII,,,+/-
221108,16,CGXII,,cobalt;pnto;cys__L,+/+
221108,14,CGXII,,cobalt,+/+

221109,16;15,CGXII,ni;34dhbz;btn,,-/-
221109,15,CGXII,ni;34dhbz;btn,cobalt;pnto;cys__L,-/+
221109,16,CGXII,ni;34dhbz;btn,cobalt;pnto;cys__L;arg__L;acgam,-/++
221109,16;15,CGXII,,,+/-
221109,15,CGXII,,cobalt;pnto;cys__L,+/+
221109,14,CGXII,,cobalt;pnto;cys__L;arg__L;acgam,+/++

221110,14;15;16;17,CGXII,ni;34dhbz;btn,,-/-
221110,14,CGXII,ni;34dhbz,cobalt,-/+
221110,15,CGXII,ni;34dhbz,cobalt;pnto;cys__L;arg__L;acgam,-/++
221110,16,CGXII,ni;34dhbz;btn,cobalt;pnto;cys__L;arg__L;acgam,-/++
221110,17,CGXII,ni;34dhbz;btn,cobalt;pnto;nmn,-/+
221110,14;15;16;17,CGXII,,,+/-
221110,14,CGXII,,cobalt,+/+
221110,15;16,CGXII,,cobalt;pnto;cys__L;arg__L;acgam,+/++
221110,17,CGXII,,cobalt;pnto;nmn,+/+

221116,14;15;16;17,CGXII,,,+/-
221116,14,CGXII,,cobalt,+/+
221116,15;16,CGXII,,cobalt;pnto;cys__L;arg__L;acgam,+/++
221116,17,CGXII,,cobalt;pnto;nmn,+/+
