Well	Plate_ID	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
A1	210831_Cstr	1	0	0	1	0.099	0.099	1.08	0.337975	
A2	210831_Cstr	1	0	0	1	0.102	0.102	1.085	0.337075	
A3	210831_Cstr	1	0	0	1	0.102	0.102	0.83	0.25877083333333334	
A4	210831_Cstr	1	0	0	1	0.09	0.09	0.092	0.03664166666666667	
A5	210831_Cstr	1	0	0	1	0.087	0.087	0.09	0.03573333333333334	
A6	210831_Cstr	1	0	0	1	0.087	0.087	0.089	0.03558333333333333	
A7	210831_Cstr	1	0	0	1	0.099	0.099	1.536	0.44201250000000003	
A8	210831_Cstr	1	0	0	1	0.102	0.102	1.534	0.4200708333333333	
A9	210831_Cstr	1	0	0	1	0.1	0.1	1.494	0.4031916666666666	
A10	210831_Cstr	1	0	0	1	0.088	0.088	0.09	0.03594583333333333	
A11	210831_Cstr	1	0	0	1	0.087	0.086	0.087	0.034641666666666654	
A12	210831_Cstr	1	0	0	1	0.086	0.085	0.087	0.034416666666666665	
B1	210831_Cstr	1	0	0	1	0.104	0.104	1.654	0.4792208333333333	
B2	210831_Cstr	1	0	0	1	0.107	0.107	1.181	0.37119166666666664	
B3	210831_Cstr	1	0	0	1	0.106	0.106	0.936	0.28674583333333337	
B4	210831_Cstr	1	0	0	1	0.103	0.101	0.132	0.04172083333333333	
B5	210831_Cstr	1	0	0	1	0.102	0.099	0.112	0.0404625	
B6	210831_Cstr	1	0	0	1	0.106	0.103	0.124	0.0421	
B7	210831_Cstr	1	0	0	1	0.107	0.107	1.547	0.3971708333333333	
B8	210831_Cstr	1	0	0	1	0.108	0.108	1.504	0.38588333333333336	
B9	210831_Cstr	1	0	0	1	0.107	0.107	1.564	0.4050125	
B10	210831_Cstr	1	0	0	1	0.096	0.095	0.096	0.03800416666666667	
B11	210831_Cstr	1	0	0	1	0.096	0.096	0.096	0.038400000000000004	
B12	210831_Cstr	1	0	0	1	0.094	0.094	0.094	0.037599999999999995	
C1	210831_Cstr	1	0	0	1	0.097	0.097	1.404	0.4475875	
C2	210831_Cstr	1	0	0	1	0.101	0.101	1.438	0.44365	
C3	210831_Cstr	1	0	0	1	0.1	0.1	1.236	0.37407499999999994	
C4	210831_Cstr	1	0	0	1	0.09	0.09	0.092	0.03627916666666667	
C5	210831_Cstr	1	0	0	1	0.093	0.092	0.095	0.037270833333333336	
C6	210831_Cstr	1	0	0	1	0.09	0.089	0.092	0.036033333333333334	
C7	210831_Cstr	1	0	0	1	0.101	0.101	1.601	0.47973750000000004	
C8	210831_Cstr	1	0	0	1	0.099	0.099	1.175	0.32760833333333333	
C9	210831_Cstr	1	0	0	1	0.101	0.101	1.135	0.3249416666666667	
C10	210831_Cstr	1	0	0	1	0.087	0.086	0.087	0.03477083333333333	
C11	210831_Cstr	1	0	0	1	0.086	0.086	0.086	0.03439999999999999	
C12	210831_Cstr	1	0	0	1	0.087	0.086	0.087	0.03472083333333333	
D1	210831_Cstr	1	0	0	1	0.1	0.1	1.195	0.3360416666666667	
D2	210831_Cstr	1	0	0	1	0.1	0.1	1.108	0.3139333333333334	
D3	210831_Cstr	1	0	0	1	0.099	0.099	1.008	0.2882625	
D4	210831_Cstr	1	0	0	1	0.1	0.1	0.113	0.044004166666666664	
D5	210831_Cstr	1	0	0	1	0.099	0.099	0.131	0.047404166666666664	
D6	210831_Cstr	1	0	0	1	0.101	0.101	0.135	0.04755	
D7	210831_Cstr	1	0	0	1	0.103	0.103	1.265	0.34175	
D8	210831_Cstr	1	0	0	1	0.102	0.102	1.215	0.3346625	
D9	210831_Cstr	1	0	0	1	0.103	0.103	1.163	0.317575	
D10	210831_Cstr	1	0	0	1	0.09	0.09	0.093	0.036675	
D11	210831_Cstr	1	0	0	1	0.089	0.089	0.092	0.036479166666666674	
D12	210831_Cstr	1	0	0	1	0.091	0.091	0.096	0.03815	
E1	210831_Cstr	1	0	0	1	0.101	0.101	1.405	0.38677500000000004	
E2	210831_Cstr	1	0	0	1	0.098	0.098	1.132	0.3182291666666667	
E3	210831_Cstr	1	0	0	1	0.098	0.098	1.198	0.3374125	
E4	210831_Cstr	1	0	0	1	0.098	0.098	0.113	0.04342916666666667	
E5	210831_Cstr	1	0	0	1	0.098	0.098	0.314	0.0960625	
E6	210831_Cstr	1	0	0	1	0.097	0.097	0.132	0.047625	
E7	210831_Cstr	1	0	0	1	0.101	0.101	1.451	0.3834958333333333	
E8	210831_Cstr	1	0	0	1	0.1	0.1	1.449	0.38177916666666667	
E9	210831_Cstr	1	0	0	1	0.099	0.099	1.436	0.375725	
E10	210831_Cstr	1	0	0	1	0.089	0.089	0.092	0.03637083333333334	
E11	210831_Cstr	1	0	0	1	0.089	0.089	0.092	0.0363875	
E12	210831_Cstr	1	0	0	1	0.091	0.091	0.097	0.038675	
F1	210831_Cstr	1	0	0	1	0.092	0.092	0.562	0.1647875	
F2	210831_Cstr	1	0	0	1	0.092	0.092	0.576	0.16873333333333332	
F3	210831_Cstr	1	0	0	1	0.095	0.095	0.506	0.15053333333333332	
F4	210831_Cstr	1	0	0	1	0.084	0.084	0.085	0.033737500000000004	
F5	210831_Cstr	1	0	0	1	0.084	0.083	0.084	0.03357916666666666	
F6	210831_Cstr	1	0	0	1	0.082	0.082	0.083	0.03282083333333334	
F7	210831_Cstr	1	0	0	1	0.093	0.093	0.386	0.11156250000000001	
F8	210831_Cstr	1	0	0	1	0.094	0.094	0.399	0.11769583333333333	
F9	210831_Cstr	1	0	0	1	0.093	0.093	0.47	0.13597083333333332	
F10	210831_Cstr	1	0	0	1	0.082	0.082	0.082	0.0328	
F11	210831_Cstr	1	0	0	1	0.083	0.083	0.084	0.03332083333333333	
F12	210831_Cstr	1	0	0	1	0.084	0.083	0.084	0.03355833333333333	
G1	210831_Cstr	1	0	0	1	0.092	0.092	0.747	0.20612083333333334	
G2	210831_Cstr	1	0	0	1	0.09	0.09	0.566	0.15895	
G3	210831_Cstr	1	0	0	1	0.093	0.093	0.56	0.16061250000000002	
G4	210831_Cstr	1	0	0	1	0.083	0.083	0.084	0.03325	
G5	210831_Cstr	1	0	0	1	0.088	0.086	0.088	0.03495833333333333	
G6	210831_Cstr	1	0	0	1	0.085	0.085	0.087	0.03445416666666666	
