	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95
Time	15.0	30.0	45.0	60.0	75.0	90.0	105.0	120.0	135.0	150.00000000000003	165.0	180.0	195.0	210.0	225.0	240.0	255.0	270.0	285.00000000000006	300.0	315.0	330.0	345.0	360.0	375.0	390.0	405.0	420.0	435.0	450.0	465.0	480.0	495.0	510.00000000000006	525.0	540.0000000000001	555.0000000000001	570.0	585.0	600.0	615.0	630.0	645.0	660.0	675.0	690.0	705.0	720.0	735.0	750.0	765.0	780.0	795.0	810.0	825.0	840.0	855.0	870.0	885.0	900.0	915.0	930.0	945.0	960.0	975.0	990.0000000000001	1005.0000000000001	1020.0000000000001	1035.0	1050.0000000000002	1065.0000000000002	1080.0000000000002	1095.0000000000002	1110.0	1125.0	1140.0	1155.0	1170.0	1185.0	1200.0	1215.0	1230.0	1245.0	1260.0	1275.0	1290.0	1305.0	1320.0	1335.0	1350.0	1365.0	1380.0	1395.0	1410.0	1425.0	1440.0
A1	0.099	0.102	0.106	0.112	0.118	0.128	0.141	0.155	0.172	0.191	0.215	0.239	0.271	0.311	0.343	0.379	0.408	0.467	0.508	0.534	0.571	0.603	0.639	0.671	0.701	0.732	0.762	0.765	0.803	0.839	0.863	0.885	0.902	0.92	0.935	0.948	0.96	0.973	0.987	0.994	1.003	1.011	1.02	1.026	1.033	1.038	1.043	1.048	1.052	1.055	1.058	1.062	1.062	1.064	1.067	1.069	1.071	1.07	1.071	1.074	1.075	1.076	1.077	1.078	1.078	1.078	1.079	1.078	1.079	1.079	1.079	1.08	1.079	1.079	1.079	1.078	1.077	1.077	1.074	1.074	1.075	1.073	1.073	1.071	1.073	1.072	1.071	1.07	1.071	1.069	1.067	1.066	1.066	1.066	1.065	1.064
A2	0.102	0.106	0.111	0.117	0.124	0.133	0.144	0.16	0.176	0.195	0.215	0.243	0.267	0.306	0.34	0.377	0.408	0.454	0.49	0.527	0.569	0.605	0.646	0.674	0.706	0.732	0.763	0.788	0.811	0.836	0.859	0.876	0.889	0.903	0.914	0.925	0.935	0.912	0.942	0.959	0.972	0.985	0.995	1.005	1.015	1.023	1.032	1.041	1.047	1.053	1.059	1.064	1.068	1.072	1.077	1.081	1.071	1.074	1.077	1.08	1.084	1.085	1.085	1.085	1.083	1.083	1.082	1.081	1.081	1.081	1.081	1.081	1.078	1.078	1.078	1.077	1.076	1.076	1.075	1.075	1.074	1.073	1.072	1.072	1.071	1.071	1.072	1.072	1.073	1.073	1.073	1.073	1.074	1.073	1.073	1.074
A3	0.102	0.105	0.108	0.115	0.123	0.127	0.134	0.148	0.163	0.18	0.196	0.216	0.24	0.263	0.284	0.328	0.344	0.373	0.39	0.434	0.454	0.469	0.49	0.511	0.529	0.551	0.568	0.588	0.612	0.632	0.649	0.661	0.671	0.683	0.692	0.702	0.714	0.723	0.732	0.739	0.748	0.755	0.763	0.768	0.773	0.777	0.78	0.783	0.789	0.79	0.794	0.797	0.798	0.8	0.801	0.804	0.803	0.807	0.807	0.811	0.813	0.811	0.815	0.816	0.813	0.815	0.818	0.818	0.819	0.82	0.819	0.821	0.821	0.822	0.822	0.823	0.822	0.823	0.823	0.823	0.825	0.825	0.826	0.826	0.825	0.825	0.827	0.826	0.827	0.829	0.83	0.829	0.829	0.829	0.829	0.83
A4	0.09	0.091	0.091	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.091	0.092	0.092	0.092	0.092	0.092	0.092	0.091	0.091	0.091	0.092	0.092	0.092	0.092	0.091	0.091	0.091	0.092	0.092	0.092	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091	0.091
A5	0.087	0.089	0.089	0.089	0.089	0.089	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.089	0.09	0.09	0.089	0.09	0.09	0.09	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089
A6	0.087	0.088	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.088	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089
A7	0.099	0.104	0.109	0.116	0.127	0.139	0.155	0.172	0.193	0.216	0.244	0.274	0.313	0.356	0.406	0.461	0.518	0.564	0.628	0.685	0.742	0.78	0.835	0.881	0.921	0.952	0.973	0.995	1.017	1.039	1.056	1.077	1.08	1.101	1.113	1.125	1.139	1.153	1.167	1.181	1.192	1.205	1.218	1.229	1.229	1.245	1.258	1.269	1.281	1.292	1.303	1.314	1.323	1.333	1.342	1.355	1.356	1.369	1.38	1.393	1.402	1.411	1.42	1.43	1.438	1.447	1.454	1.462	1.469	1.476	1.483	1.49	1.497	1.503	1.509	1.515	1.519	1.524	1.528	1.531	1.533	1.535	1.535	1.536	1.535	1.533	1.531	1.53	1.528	1.528	1.527	1.528	1.526	1.524	1.527	1.527
A8	0.102	0.106	0.113	0.121	0.133	0.145	0.16	0.18	0.201	0.226	0.254	0.288	0.325	0.368	0.412	0.464	0.514	0.558	0.612	0.666	0.726	0.77	0.802	0.845	0.881	0.914	0.936	0.955	0.97	0.99	1.011	1.021	1.035	1.051	1.062	1.068	1.075	1.086	1.096	1.106	1.118	1.13	1.139	1.148	1.154	1.163	1.173	1.184	1.193	1.202	1.213	1.224	1.231	1.241	1.249	1.258	1.265	1.274	1.283	1.291	1.301	1.308	1.316	1.325	1.331	1.338	1.328	1.34	1.351	1.362	1.371	1.38	1.389	1.399	1.406	1.414	1.422	1.43	1.438	1.444	1.451	1.458	1.464	1.472	1.478	1.484	1.49	1.496	1.502	1.507	1.512	1.517	1.522	1.526	1.53	1.534
A9	0.1	0.105	0.11	0.116	0.124	0.135	0.148	0.165	0.182	0.203	0.227	0.254	0.279	0.311	0.342	0.376	0.413	0.443	0.48	0.513	0.55	0.587	0.617	0.655	0.692	0.73	0.767	0.806	0.833	0.859	0.89	0.911	0.928	0.952	0.977	0.991	1.007	1.025	1.043	1.057	1.074	1.086	1.101	1.113	1.124	1.136	1.141	1.154	1.168	1.18	1.194	1.205	1.214	1.224	1.235	1.244	1.255	1.266	1.275	1.279	1.29	1.301	1.31	1.317	1.327	1.335	1.343	1.352	1.363	1.372	1.381	1.384	1.395	1.404	1.412	1.42	1.429	1.435	1.441	1.447	1.453	1.461	1.467	1.474	1.478	1.484	1.488	1.492	1.494	1.493	1.494	1.493	1.494	1.493	1.492	1.487
